Type,Name,Lvl,Mt,Wt,Hit,Rng,DmgType,Price,Tags
Sword,Georgios,S,9,-10,0,1,Phys,100.0,Heavy
Sword,Caladbolg,S,9,-5,0,1,Phys,100.0,
Sword,Silver Sword,A,7,0,0,1,Phys,40.0,
Sword,Silver Blade,A,7,-5,0,1,Phys,60.0,Heavy
Sword,Brave Sword,A,2,-5,0,1,Phys,80.0,Brave
Sword,Wo Dao,A,7,0,0,1,Phys,25.0,Deadly(20)
Sword,Steel Blade,B,5,0,-5,1,Phys,30.0,Heavy
Sword,Killing Edge,B,5,0,-5,1,Phys,25.0,Deadly(20)
Sword,Levin Sword,B,5,0,0,1~2,Mag,30.0,Enchanted
Sword,Wyrmslayer,C,3,-5,0,1,Phys,25.0,Effective(Dragon)
Sword,Steel Sword,C,3,0,0,1,Phys,20.0,
Sword,Armorslayer,C,3,-5,-5,1,Phys,25.0,Effective(Armor)
Axe,Fragarach,S,11,-10,0,1,Phys,100.0,
Axe,Ukonvasara,S,11,-10,-10,1,Phys,100.0,Heavy
Axe,Brave Axe,A,3,-10,-10,1,Phys,80.0,Brave
Axe,Silver Axe,A,9,-5,-10,1,Phys,40.0,
Axe,Tomahawk,A,9,-10,-20,1~2,Phys,45.0,
Axe,Silver Greataxe,A,9,-10,-20,1,Phys,60.0,Heavy
Axe,Steel Greataxe,B,7,-5,-25,1,Phys,30.0,Heavy
Axe,Hurricane Axe,B,7,-10,-10,1,Mag,30.0,Enchanted Heavy
Axe,Killer Axe,B,7,0,-15,1,Phys,30.0,Deadly(20)
Axe,Poleaxe,C,5,-5,-20,1,Phys,25.0,Effective(Cavalry)
Axe,Steel Axe,C,5,0,-15,1,Phys,20.0,
Axe,Hammer,C,5,-5,-20,1,Phys,25.0,Effective(Armor)
Axe,Hand Axe,C,3,-5,-15,1~2,Phys,18.0,
Lance,Brionac,S,10,-10,-10,1~2,Phys,100.0,
Lance,Venomous,S,10,-10,0,1,Phys,100.0,Heavy Status(Poisoned)
Lance,Brave Lance,A,2,-5,-5,1,Phys,80.0,Brave
Lance,Silver Lance,A,8,0,0,1,Phys,40.0,
Lance,Silver Greatlance,A,8,-10,-10,1,Phys,60.0,Heavy
Lance,Spear,A,8,-10,-10,1~2,Phys,45.0,
Lance,Steel Greatlance,B,6,0,-15,1,Phys,30.0,Heavy
Lance,Killer Lance,B,6,0,-5,1,Phys,30.0,Deadly(20)
Lance,Flame Lance,B,6,-10,-5,1~2,Mag,30.0,Enchanted
Lance,Ridersbane,C,4,0,-10,1,Phys,25.0,Effective(Cavalry)
Lance,Steel Lance,C,4,0,-5,1,Phys,20.0,
Lance,Javelin,C,2,-5,-5,1~2,Phys,18.0,
Bow,Lendabair,S,10,-5,0,2,Phys,100.0,Effective(Flying)
Bow,Silver Bow,A,8,0,0,2,Phys,40.0,Effective(Flying)
Bow,Brave Bow,A,2,-5,-5,2,Phys,80.0,Brave Effective(Flying)
Bow,Killer Bow,B,6,0,-5,2,Phys,30.0,Deadly(20) Effective(Flying)
Bow,Radiant Bow,B,6,-5,-5,2,Mag,30.0,Enchanted Effective(Flying)
Bow,Longbow,C,4,0,-10,2~3,Phys,20.0,Effective(Flying)
Bow,Mini Bow,C,4,0,0,1~2,Phys,20.0,
Bow,Steel Bow,C,4,0,0,2,Phys,20.0,Effective(Flying)
Dagger,Cinquedea,S,7,-5,0,1~2,Phys,100.0,Status(Poisoned)
Dagger,Carnwenhan,S,7,-5,0,1,Phys,100.0,Heavy Status(Poisoned)
Dagger,Silver Dagger,A,5,0,0,1~2,Phys,40.0,Status(Poisoned)
Dagger,Peshkatz,A,5,-5,0,1,Phys,40.0,Deadly(15) Status(Poisoned)
Dagger,Stiletto,B,3,0,-5,1,Phys,20.0,Deadly(15) Status(Poisoned)
Dagger,Steel Dagger,C,1,0,0,1~2,Phys,20.0,Status(Poisoned)
Art,Divine Fist Art,S,3,-5,-5,1,Phys,100.0,Brave
Art,Flashing Fist Art,B,2,-5,0,1,Phys,60.0,Brave Bonus(Agi+5) Cursed(Def-2) Cursed(Res-2)
Art,Silver-Spirit Art,B,2,0,0,1,Phys,40.0,Brave
Art,Steel-Hand Art,C,1,0,-10,1,Phys,20.0,Brave
Art,Shielding Art,C,4,0,-10,1,Phys,25.0,Bonus(Def+1)
Tome,Excalibur,S,10,0,0,1~2,Mag,40.0,Effective(Flying)
Tome,Nova,S,3,-5,-5,1~2,Mag,100.0,Brave
Tome,Meteor,A,8,-10,-20,3~7,Mag,60.0,Complex
Tome,Thoron,A,8,-10,-10,1~3,Mag,40.0,Complex
Tome,Bolganone,A,8,-5,0,1~2,Mag,40.0,
Tome,Elwind,B,6,0,0,1~2,Mag,20.0,Effective(Flying)
Tome,Elthunder,B,6,-5,-5,1~3,Mag,20.0,Complex
Tome,Wind,C,4,0,0,1~2,Mag,10.0,Effective(Flying)
Tome,Elsurge,C,4,0,100,1,Mag,25.0,
Tome,Elfire,C,4,0,0,1~2,Mag,20.0,
Staff,Nodus,S,0,0,0,Inf,Mag,60.0,Consumable(1)
Staff,Fortify,A,0,0,0,1~5,Mag,50.0,AoE Heal(Mag+6) Consumable(3)
Staff,Entrap,A,0,0,-30,1~6,Mag,40.0,Entrap Consumable(3)
Staff,Recover,A,0,0,0,1,Mag,30.0,Heal(Mag+9) Consumable(3)
Staff,Fracture,B,0,0,-10,1~10,Mag,12.0,Effect(Break) Consumable(5)
Staff,Rescue,B,0,0,0,1~8,Mag,20.0,Rescue Consumable(5)
Staff,Warp,B,0,0,0,1~5,Mag,20.0,Warp Consumable(5)
Staff,Physic,B,0,0,0,1~5,Mag,30.0,Heal(Mag+3) Consumable(5)
Staff,Mend,B,0,0,0,1,Mag,10.0,Heal(Mag+6) Consumable(7)
Staff,Heal,C,0,0,0,1,Mag,5.0,Heal(Mag+3) Consumable(10)
Staff,Illume,C,0,0,0,—,Mag,5.0,Torch(7) Consumable(5)
Staff,Silence,C,0,0,-10,1~6,Mag,15.0,Effect(Silence) Consumable(5)
Staff,Obstruct,C,0,0,0,1~8,Mag,5.0,Vein(Ice) Consumable(5)
Staff,Freeze,C,0,0,-10,1~6,Mag,15.0,Freeze Consumable(5)
Staff,Rewarp,C,0,0,0,1~5,Mag,12.0,Rewarp Consumable(5)
Staff,Restore,C,0,0,0,1~3,Mag,5.0,Restore Consumable(5)
