Type,Name,Lvl,Mt,Wt,Rng,DmgType,Price,Tags
Art,Silver-Spirit Art,A,5,-1,1,Phys,40.0,Brave
Art,Flashing Fist Art,A,9,-2,1,Phys,60.0,Brave Bonus(Spd+1) Cursed(Def-2) Cursed(Res-2)
Art,Steel-Hand Art,C,5,0,1,Phys,20.0,Brave Inaccurate(1)
Art,Shielding Art,C,3,-2,1,Phys,25.0,Bonus(Def+1) Inaccurate(1)
Art,Initiate Art,D,0,0,1,Phys,5.0,Nimble(10)
Art,Iron-Body Art,D,1,0,1,Phys,10.0,Brave
Art,Divine Fist Art,S,1,-1,1,Phys,100.0,Brave
Axe,Silver Axe,A,6,-2,1,Phys,40.0, Inaccurate(1)
Axe,Brave Axe,A,2,-2,1,Phys,80.0,Brave Inaccurate(1)
Axe,Silver Greataxe,A,10,-2,1,Phys,60.0,Heavy Inaccurate(2)
Axe,Tomahawk,B,4,-2,1~2,Phys,45.0, Inaccurate(2)
Axe,Steel Greataxe,B,8,-2,1,Phys,30.0,Heavy Inaccurate(2)
Axe,Hurricane Axe,B,8,-2,1,Mag,30.0,Enchanted Heavy Inaccurate(1)
Axe,Steel Axe,C,4,-1,1,Phys,20.0, Inaccurate(1)
Axe,Killer Axe,C,4,-1,1,Phys,30.0,Deadly(30) Inaccurate(1)
Axe,Iron Greataxe,C,6,-1,1,Phys,15.0,Heavy Inaccurate(1)
Axe,Compact Axe,D,1,0,1,Phys,5.0,Nimble(10)
Axe,Iron Axe,D,2,0,1,Phys,10.0,
Axe,Hand Axe,D,2,-1,1~2,Phys,18.0, Inaccurate(1)
Axe,Hammer,D,4,-2,1,Phys,25.0,Effective(Armor) Inaccurate(2)
Axe,Poleaxe,D,4,-2,1,Phys,25.0,Effective(Cavalry) Inaccurate(2)
Axe,Fragarach,S,8,-1,1,Phys,100.0,
Axe,Ukonvasara,S,10,-2,1,Phys,100.0,Heavy Inaccurate(70)
Bow,Silver Bow,A,7,-2,2,Phys,40.0,Effective(Flying)
Bow,Brave Bow,A,1,-2,2,Phys,80.0,Brave Effective(Flying)
Bow,Steel Bow,C,5,-1,2,Phys,20.0,Effective(Flying)
Bow,Longbow,C,3,-2,2~3,Phys,20.0,Effective(Flying) Inaccurate(1)
Bow,Killer Bow,C,3,-1,2,Phys,30.0,Deadly(30) Effective(Flying)
Bow,Radiant Bow,C,7,-2,2,Mag,30.0,Enchanted Effective(Flying)
Bow,Mini Bow,D,1,0,1,Phys,5.0,Nimble(10)
Bow,Iron Bow,D,1,0,2,Phys,10.0,Effective(Flying)
Bow,Lendabair,S,7,-1,2,Phys,100.0,Effective(Flying)
Dagger,Silver Dagger,A,5,-2,1~2,Phys,40.0,Status(Poisoned)
